Gene stable ID	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Gene name
ENSMUSG00000046753	ENSG00000180376	CCDC66	ortholog_one2one	1	69.6257	68.6709	Ccdc66
ENSMUSG00000099264							Mir6411
ENSMUSG00000099092							Mir7062
ENSMUSG00000089513							Gm24875
ENSMUSG00000105122							Gm44407
ENSMUSG00000064691							Gm24149
ENSMUSG00000077546							Gm22020
ENSMUSG00000099205							Gm27944
ENSMUSG00000095325							Zfp870
ENSMUSG00000088639							Mir1955
ENSMUSG00000022489	ENSG00000123360	PDE1B	ortholog_one2one	1	96.0748	95.8955	Pde1b
ENSMUSG00000084646	ENSG00000207053	RNU6-937P	ortholog_one2one	0	68.2692	66.9811	Gm24381
ENSMUSG00000064471	ENSG00000201384	SNORA32	ortholog_one2many	0	61.4754	65.2174	Gm23406
ENSMUSG00000098247							Mir7220
ENSMUSG00000094466							Gm24308
ENSMUSG00000015441	ENSG00000100453	GZMB	ortholog_one2many	0	52.8226	53.0364	Gzmf
ENSMUSG00000087960							Gm25392
ENSMUSG00000098792	ENSG00000274051	uc_338	ortholog_one2one	0	87.2832	83.4254	Gm27401
ENSMUSG00000064706	ENSG00000202190	Y_RNA	ortholog_many2many	0	72.7273	70.1754	Gm22508
ENSMUSG00000064706	ENSG00000252436	Y_RNA	ortholog_many2many	0	70.9091	74.2857	Gm22508
ENSMUSG00000064706	ENSG00000200829	Y_RNA	ortholog_many2many	0	79.0909	77.6786	Gm22508
ENSMUSG00000064706	ENSG00000201892	Y_RNA	ortholog_many2many	0	67.2727	63.2479	Gm22508
ENSMUSG00000064706	ENSG00000202078	Y_RNA	ortholog_many2many	0	79.0909	76.9911	Gm22508
ENSMUSG00000064706	ENSG00000202100	Y_RNA	ortholog_many2many	0	74.5455	75.2294	Gm22508
ENSMUSG00000064706	ENSG00000206862	Y_RNA	ortholog_many2many	0	78.1818	77.4775	Gm22508
ENSMUSG00000064706	ENSG00000201916	Y_RNA	ortholog_many2many	0	74.5455	73.8739	Gm22508
ENSMUSG00000064706	ENSG00000252534	Y_RNA	ortholog_many2many	0	72.7273	74.7664	Gm22508
ENSMUSG00000064706	ENSG00000202141	Y_RNA	ortholog_many2many	0	77.2727	75.2212	Gm22508
ENSMUSG00000064706	ENSG00000200752	Y_RNA	ortholog_many2many	0	76.3636	74.3363	Gm22508
ENSMUSG00000064706	ENSG00000201343	Y_RNA	ortholog_many2many	0	71.8182	71.8182	Gm22508
ENSMUSG00000064706	ENSG00000207127	Y_RNA	ortholog_many2many	0	73.6364	75.7009	Gm22508
ENSMUSG00000064706	ENSG00000201102	Y_RNA	ortholog_many2many	0	72.7273	70.7965	Gm22508
ENSMUSG00000064706	ENSG00000252210	Y_RNA	ortholog_many2many	0	50	64.7059	Gm22508
ENSMUSG00000064706	ENSG00000202522	Y_RNA	ortholog_many2many	0	80	77.8761	Gm22508
ENSMUSG00000064706	ENSG00000201596	Y_RNA	ortholog_many2many	0	75.4545	75.4545	Gm22508
ENSMUSG00000064706	ENSG00000202222	Y_RNA	ortholog_many2many	0	75.4545	73.4513	Gm22508
ENSMUSG00000064706	ENSG00000201988	Y_RNA	ortholog_many2many	0	80	79.2793	Gm22508
ENSMUSG00000064706	ENSG00000201074	Y_RNA	ortholog_many2many	0	75.4545	74.1071	Gm22508
ENSMUSG00000064706	ENSG00000201217	Y_RNA	ortholog_many2many	0	77.2727	75.2212	Gm22508
ENSMUSG00000064706	ENSG00000200052	Y_RNA	ortholog_many2many	0	75.4545	74.7748	Gm22508
ENSMUSG00000064706	ENSG00000199875	Y_RNA	ortholog_many2many	0	77.2727	75.2212	Gm22508
ENSMUSG00000064706	ENSG00000200351	Y_RNA	ortholog_many2many	0	77.2727	77.2727	Gm22508
ENSMUSG00000064706	ENSG00000238490	Y_RNA	ortholog_many2many	0	77.2727	75.2212	Gm22508
ENSMUSG00000064706	ENSG00000206692	Y_RNA	ortholog_many2many	0	75.4545	70.9402	Gm22508
ENSMUSG00000064706	ENSG00000207370	Y_RNA	ortholog_many2many	0	78.1818	76.1062	Gm22508
ENSMUSG00000064706	ENSG00000200241	Y_RNA	ortholog_many2many	0	74.5455	73.8739	Gm22508
ENSMUSG00000064706	ENSG00000200135	Y_RNA	ortholog_many2many	0	79.0909	76.9911	Gm22508
ENSMUSG00000064706	ENSG00000252671	Y_RNA	ortholog_many2many	0	79.0909	79.0909	Gm22508
ENSMUSG00000064706	ENSG00000201547	Y_RNA	ortholog_many2many	0	81.8182	83.3333	Gm22508
ENSMUSG00000064706	ENSG00000252607	Y_RNA	ortholog_many2many	0	80	74.5763	Gm22508
ENSMUSG00000064706	ENSG00000199591	Y_RNA	ortholog_many2many	0	76.3636	78.5047	Gm22508
ENSMUSG00000098944							Mir8120
ENSMUSG00000092792							Gm22694
ENSMUSG00000091650	ENSG00000100336	APOL4	ortholog_many2many	0	31.1377	29.6296	Apol11a
ENSMUSG00000091650	ENSG00000100342	APOL1	ortholog_many2many	0	32.6347	26.3285	Apol11a
ENSMUSG00000091650	ENSG00000128335	APOL2	ortholog_many2many	0	34.7305	34.4214	Apol11a
ENSMUSG00000091650	ENSG00000128284	APOL3	ortholog_many2many	0	38.024	31.592	Apol11a
ENSMUSG00000078041							Mir292
ENSMUSG00000070136							Mir496a
ENSMUSG00000088064							Gm24478
ENSMUSG00000077571	ENSG00000222370	SNORA36B	ortholog_one2one	0	87.8788	88.5496	Snora36b
ENSMUSG00000070104							Mir471
ENSMUSG00000098435	ENSG00000278334	HOXA11-AS1_2	ortholog_one2one	0	90.9091	90.9091	Gm27492
ENSMUSG00000088944							Gm23258
ENSMUSG00000035235	ENSG00000204977	TRIM13	ortholog_one2one	1	88.9435	88.2927	Trim13
ENSMUSG00000071540	ENSG00000177354	C10orf71	ortholog_one2one	1	65.7224	64.669	3425401B19Rik
ENSMUSG00000036295	ENSG00000173114	LRRN3	ortholog_one2one	1	87.9774	87.8531	Lrrn3
ENSMUSG00000096784							Gm24643
ENSMUSG00000088337							Gm22845
ENSMUSG00000088924	ENSG00000212589	SNORA17	ortholog_many2many	0	80	36.3636	Gm24298
ENSMUSG00000088924	ENSG00000212461	SNORA17	ortholog_many2many	0	66.6667	31.0078	Gm24298
ENSMUSG00000088924	ENSG00000281808	SNORA17	ortholog_many2many	0	80	36.3636	Gm24298
ENSMUSG00000065943	ENSG00000212207	RNU6-1321P	ortholog_one2one	0	76.9231	74.7664	Gm23794
ENSMUSG00000095868	ENSG00000199673	SNORD16	ortholog_one2many	0	91.9192	91.9192	Gm23136
ENSMUSG00000048546	ENSG00000183864	TOB2	ortholog_one2one	1	89.5652	89.8256	Tob2
ENSMUSG00000088331							Gm22846
ENSMUSG00000041471	ENSG00000122376	FAM35A	ortholog_one2one	1	65.3199	64.3805	Fam35a
ENSMUSG00000076371							Gm22368
ENSMUSG00000096519							Gm10721
ENSMUSG00000048285	ENSG00000139926	FRMD6	ortholog_one2one	1	93.5691	93.5691	Frmd6
ENSMUSG00000088284							Gm23588
ENSMUSG00000094690							1600014C23Rik
ENSMUSG00000089018							Gm25521
ENSMUSG00000021476	ENSG00000130956	HABP4	ortholog_one2one	1	83.9806	83.7772	Habp4
ENSMUSG00000089363							Gm23821
ENSMUSG00000105200							Mir378a
ENSMUSG00000042857							Gm9776
ENSMUSG00000095029							Gm21370
ENSMUSG00000063410	ENSG00000102572	STK24	ortholog_one2one	1	95.3596	92.7765	Stk24
ENSMUSG00000061669							Rpl34-ps2
ENSMUSG00000045094	ENSG00000183111	ARHGEF37	ortholog_one2one	1	79.4379	79.5556	Arhgef37
ENSMUSG00000070900							Gm10306
ENSMUSG00000075245							Gm6043
ENSMUSG00000091619							Gm3625
ENSMUSG00000078604							Gm10961
ENSMUSG00000093908							Gm5784
ENSMUSG00000099240	ENSG00000276015	KCNQ1OT1_5	ortholog_one2one	0	90.1786	89.3805	Gm27539
ENSMUSG00000095567	ENSG00000188976	NOC2L	ortholog_one2one	1	74.4	74.4993	Noc2l
ENSMUSG00000077998							Mir466f-2
ENSMUSG00000098296							Mir6918
ENSMUSG00000080680							Gm23989
ENSMUSG00000088546							Gm25981
ENSMUSG00000087930							Gm26048
ENSMUSG00000025225	ENSG00000077150	NFKB2	ortholog_one2one	1	91.8799	91.7778	Nfkb2
ENSMUSG00000042211	ENSG00000145868	FBXO38	ortholog_one2one	1	87.8559	94.2498	Fbxo38
ENSMUSG00000094506							Gm26229
ENSMUSG00000058655	ENSG00000063046	EIF4B	ortholog_one2one	1	93.7807	93.0195	Eif4b
ENSMUSG00000089052							Gm23351
ENSMUSG00000098676							Mir6359
ENSMUSG00000095857							Gm22618
ENSMUSG00000071649	ENSG00000149541	B3GAT3	ortholog_one2one	1	95.8209	95.8209	B3gat3
ENSMUSG00000088448							Gm23558
ENSMUSG00000076253							Mir680-3
ENSMUSG00000084612	ENSG00000252041	RNA5SP228	ortholog_one2one	0	64.7727	42.8571	n-R5s6
ENSMUSG00000076959							Mir669l
ENSMUSG00000095728	ENSG00000232423	PRAMEF6	ortholog_many2many	0	42.3645	36.1345	AC125178.3
ENSMUSG00000095728	ENSG00000182330	PRAMEF8	ortholog_many2many	0	42.6108	36.4979	AC125178.3
ENSMUSG00000095728	ENSG00000229571	PRAMEF25	ortholog_many2many	0	41.8719	35.5649	AC125178.3
ENSMUSG00000095728	ENSG00000270601	PRAMEF5	ortholog_many2many	0	42.3645	36.1345	AC125178.3
ENSMUSG00000095728	ENSG00000204505	PRAMEF9	ortholog_many2many	0	41.8719	35.5649	AC125178.3
ENSMUSG00000095728	ENSG00000274764	PRAMEF27	ortholog_many2many	0	41.8719	35.5649	AC125178.3
ENSMUSG00000095728	ENSG00000204480	PRAMEF19	ortholog_many2many	0	31.5271	31.2195	AC125178.3
ENSMUSG00000095728	ENSG00000204478	PRAMEF20	ortholog_many2many	0	41.3793	35.3684	AC125178.3
ENSMUSG00000095728	ENSG00000116721	PRAMEF1	ortholog_many2many	0	38.4236	32.9114	AC125178.3
ENSMUSG00000095728	ENSG00000243073	PRAMEF4	ortholog_many2many	0	41.3793	35.1464	AC125178.3
ENSMUSG00000095728	ENSG00000116726	PRAMEF12	ortholog_many2many	0	43.1034	36.2319	AC125178.3
ENSMUSG00000095728	ENSG00000279804	PRAMEF18	ortholog_many2many	0	40.6404	34.4468	AC125178.3
ENSMUSG00000095728	ENSG00000204510	PRAMEF7	ortholog_many2many	0	42.3645	36.2869	AC125178.3
ENSMUSG00000095728	ENSG00000239810	PRAMEF11	ortholog_many2many	0	41.133	34.9372	AC125178.3
ENSMUSG00000095728	ENSG00000279169	PRAMEF13	ortholog_many2many	0	13.7931	24.4541	AC125178.3
ENSMUSG00000095728	ENSG00000120952	PRAMEF2	ortholog_many2many	0	37.931	32.4895	AC125178.3
ENSMUSG00000095728	ENSG00000280267	PRAMEF26	ortholog_many2many	0	41.8719	35.5649	AC125178.3
ENSMUSG00000095728	ENSG00000204481	PRAMEF14	ortholog_many2many	0	38.1773	32.7004	AC125178.3
ENSMUSG00000095728	ENSG00000237700	PRAMEF33	ortholog_many2many	0	37.931	32.4895	AC125178.3
ENSMUSG00000095728	ENSG00000204479	PRAMEF17	ortholog_many2many	0	38.67	33.1224	AC125178.3
ENSMUSG00000095728	ENSG00000187545	PRAMEF10	ortholog_many2many	0	38.4236	32.9114	AC125178.3
ENSMUSG00000095728	ENSG00000204501	PRAMEF15	ortholog_many2many	0	42.1182	35.7741	AC125178.3
ENSMUSG00000092671							Gm24103
ENSMUSG00000099003							Mir7035
ENSMUSG00000098757							Gm27313
ENSMUSG00000065477							Mir411
ENSMUSG00000088903	ENSG00000252329	SCARNA16	ortholog_one2one	0	57.485	55.814	Gm25434
ENSMUSG00000025034	ENSG00000171206	TRIM8	ortholog_one2one	1	97.6407	97.6407	Trim8
ENSMUSG00000104783							Gm44381
ENSMUSG00000097405							D630044L22Rik
ENSMUSG00000087870							Gm26100
ENSMUSG00000084652							Gm22717
ENSMUSG00000098791	ENSG00000278482	ST7-OT3_3	ortholog_one2one	0	65	67.8261	Gm27402
ENSMUSG00000074735							Gm21994
ENSMUSG00000058704	ENSG00000162959	MEMO1	ortholog_one2one	1	98.9899	98.9899	Memo1
ENSMUSG00000106556							Gm44375
ENSMUSG00000093912							Mir3470b
ENSMUSG00000095315	ENSG00000198429	ZNF69	ortholog_many2many	0	32.6733	22.1477	Gm10130
ENSMUSG00000095315	ENSG00000213297	ZNF625-ZNF20	ortholog_many2many	0	44.5545	36	Gm10130
ENSMUSG00000095315	ENSG00000257355	CTD-2006C1.10	ortholog_many2many	0	37.6238	50	Gm10130
ENSMUSG00000095315	ENSG00000269755	CTD-3105H18.18	ortholog_many2many	0	39.604	50	Gm10130
ENSMUSG00000037628	ENSG00000100526	CDKN3	ortholog_one2one	1	89.5735	89.1509	Cdkn3
ENSMUSG00000065750							Gm23346
ENSMUSG00000076961							Gm23251
ENSMUSG00000074473							A230072I06Rik
ENSMUSG00000088829							Gm25227
ENSMUSG00000074485							Gm7381
ENSMUSG00000095742							CAAA01147332.1
ENSMUSG00000088019							Gm23826
ENSMUSG00000097100							9230104M06Rik
ENSMUSG00000092743							Gm22177
ENSMUSG00000065361	ENSG00000277925	Telomerase-vert	ortholog_one2many	0	59.7087	56.1644	1600017P15Rik
ENSMUSG00000044724	ENSG00000175514	GPR152	ortholog_one2one	1	72.0157	78.2979	Gpr152
ENSMUSG00000052085	ENSG00000107099	DOCK8	ortholog_one2one	1	91.9048	91.9485	Dock8
ENSMUSG00000091844	ENSG00000175820	CCDC168	ortholog_one2one	0	38.8164	10.9307	Gm8251
ENSMUSG00000089107	ENSG00000252933	RNU6-1223P	ortholog_one2one	0	58.3333	60.5769	Gm23117
ENSMUSG00000079597	ENSG00000121552	CSTA	ortholog_one2many	1	59.7938	59.1837	Gm5483
ENSMUSG00000077604	ENSG00000274091	SNORD1C	ortholog_one2many	0	77.3333	74.359	Snord1b
ENSMUSG00000053706							B430305J03Rik
ENSMUSG00000088545							Gm25982
ENSMUSG00000088405	ENSG00000275030	RNU6-538P	ortholog_one2many	0	64.0351	68.2243	Gm25886
ENSMUSG00000088405	ENSG00000238529	RNU6-599P	ortholog_one2many	0	63.1579	67.2897	Gm25886
ENSMUSG00000088405	ENSG00000252772	RNU6-714P	ortholog_one2many	0	56.1404	62.1359	Gm25886
ENSMUSG00000088405	ENSG00000238551	RNU6-1193P	ortholog_one2many	0	64.0351	68.2243	Gm25886
ENSMUSG00000088405	ENSG00000212329	RNU6-316P	ortholog_one2many	0	62.2807	66.3551	Gm25886
ENSMUSG00000088405	ENSG00000212140	RNU6-1320P	ortholog_one2many	0	64.0351	68.2243	Gm25886
ENSMUSG00000088405	ENSG00000252721	RNU6-798P	ortholog_one2many	0	56.1404	62.1359	Gm25886
ENSMUSG00000088405	ENSG00000274385	U6	ortholog_one2many	0	63.1579	67.2897	Gm25886
ENSMUSG00000088405	ENSG00000223024	RNU6-55P	ortholog_one2many	0	64.0351	68.2243	Gm25886
ENSMUSG00000088405	ENSG00000223287	RNU6-954P	ortholog_one2many	0	63.1579	67.2897	Gm25886
ENSMUSG00000088405	ENSG00000278625	U6	ortholog_one2many	0	63.1579	67.9245	Gm25886
ENSMUSG00000088405	ENSG00000212297	RNU6-821P	ortholog_one2many	0	57.8947	61.6822	Gm25886
ENSMUSG00000088405	ENSG00000275068	U6	ortholog_one2many	0	64.9123	69.8113	Gm25886
ENSMUSG00000088405	ENSG00000278551	RNU6-368P	ortholog_one2many	0	64.0351	68.2243	Gm25886
ENSMUSG00000088405	ENSG00000212441	RNU6-1269P	ortholog_one2many	0	64.0351	68.2243	Gm25886
ENSMUSG00000096360							Mir466b-7
ENSMUSG00000093215							Mir3103
ENSMUSG00000088106							Gm22378
ENSMUSG00000088179	ENSG00000200555	RNU6-525P	ortholog_one2many	0	60.396	58.6538	Gm23106
ENSMUSG00000021260	ENSG00000182218	HHIPL1	ortholog_one2one	1	81.6688	82.6087	Hhipl1
ENSMUSG00000065412							Mir29b-2
ENSMUSG00000064665							Gm24460
ENSMUSG00000096148	ENSG00000207014	SNORD116-3	ortholog_many2many	0	88.2979	87.3684	Gm25816
ENSMUSG00000096148	ENSG00000275529	SNORD116-4	ortholog_many2many	0	88.2979	86.4583	Gm25816
ENSMUSG00000096148	ENSG00000207063	SNORD116-1	ortholog_many2many	0	87.234	86.3158	Gm25816
ENSMUSG00000096148	ENSG00000206727	SNORD116-9	ortholog_many2many	0	88.2979	87.3684	Gm25816
ENSMUSG00000096148	ENSG00000207191	SNORD116-5	ortholog_many2many	0	87.234	86.3158	Gm25816
ENSMUSG00000096148	ENSG00000207093	SNORD116-8	ortholog_many2many	0	88.2979	87.3684	Gm25816
ENSMUSG00000096148	ENSG00000207442	SNORD116-6	ortholog_many2many	0	89.3617	87.5	Gm25816
ENSMUSG00000096148	ENSG00000207001	SNORD116-2	ortholog_many2many	0	89.3617	88.4211	Gm25816
ENSMUSG00000096148	ENSG00000207133	SNORD116-7	ortholog_many2many	0	87.234	86.3158	Gm25816
ENSMUSG00000099036							Mir378c
ENSMUSG00000088733							Gm23895
ENSMUSG00000095097	ENSG00000207468	SNORA19	ortholog_one2many	0	89.3939	92.1875	Gm23658
ENSMUSG00000089085							Gm24004
ENSMUSG00000092915							Gm24083
ENSMUSG00000065204							Gm24610
ENSMUSG00000098735							Mir7005
